帐号ID,帐号名,帐号密码,角色名称,角色ID,等级,"玩法模式0.个人,1.撮合",匹配分修改
239,ST1239,g,ST1239,102647,1,1,
240,ST1240,g,ST1240,102648,1,1,
241,ST1241,g,ST1241,102649,1,1,
242,ST1242,g,ST1242,102650,1,1,
243,ST1243,g,ST1243,102651,1,1,
244,ST1244,g,ST1244,102652,1,1,
245,ST1245,g,ST1245,102653,1,1,
246,ST1246,g,ST1246,102654,1,1,
247,ST1247,g,ST1247,102655,1,1,
248,ST1248,g,ST1248,102656,1,1,
249,ST1249,g,ST1249,102657,1,1,
250,ST1250,g,ST1250,102658,1,1,
251,ST1251,g,ST1251,102659,1,1,
252,ST1252,g,ST1252,102660,1,1,
253,ST1253,g,ST1253,102661,1,1,
254,ST1254,g,ST1254,102662,1,1,
255,ST1255,g,ST1255,102663,1,1,
256,ST1256,g,ST1256,102664,1,1,
257,ST1257,g,ST1257,102665,1,1,
258,ST1258,g,ST1258,102666,1,1,
259,ST1259,g,ST1259,102667,1,1,
260,ST1260,g,ST1260,102668,1,1,
261,ST1261,g,ST1261,102669,1,1,
262,ST1262,g,ST1262,102670,1,1,
263,ST1263,g,ST1263,102671,1,1,
264,ST1264,g,ST1264,102672,1,1,
265,ST1265,g,ST1265,102673,1,1,
266,ST1266,g,ST1266,102674,1,1,
267,ST1267,g,ST1267,102675,1,1,
268,ST1268,g,ST1268,102676,1,1,
269,ST1269,g,ST1269,102677,1,1,
270,ST1270,g,ST1270,102678,1,1,
271,ST1271,g,ST1271,102679,1,1,
272,ST1272,g,ST1272,102680,1,1,
273,ST1273,g,ST1273,102681,1,1,
274,ST1274,g,ST1274,102682,1,1,
275,ST1275,g,ST1275,102683,1,1,
276,ST1276,g,ST1276,102684,1,1,
277,ST1277,g,ST1277,102685,1,1,
278,ST1278,g,ST1278,102686,1,1,
279,ST1279,g,ST1279,102687,1,1,
280,ST1280,g,ST1280,102688,1,1,
281,ST1281,g,ST1281,102689,1,1,
282,ST1282,g,ST1282,102690,1,1,
283,ST1283,g,ST1283,102691,1,1,
284,ST1284,g,ST1284,102692,1,1,
285,ST1285,g,ST1285,102693,1,1,
286,ST1286,g,ST1286,102694,1,1,
287,ST1287,g,ST1287,102695,1,1,
288,ST1288,g,ST1288,102696,1,1,
289,ST1289,g,ST1289,102697,1,1,
290,ST1290,g,ST1290,102698,1,1,
291,ST1291,g,ST1291,102699,1,1,
292,ST1292,g,ST1292,102700,1,1,
293,ST1293,g,ST1293,102701,1,1,
294,ST1294,g,ST1294,102702,1,1,
295,ST1295,g,ST1295,102703,1,1,
296,ST1296,g,ST1296,102704,1,1,
297,ST1297,g,ST1297,102705,1,1,
298,ST1298,g,ST1298,102706,1,1,
299,ST1299,g,ST1299,102707,1,1,
300,ST1300,g,ST1300,102708,1,1,
301,ST1301,g,ST1301,102709,1,1,
302,ST1302,g,ST1302,102710,1,1,
303,ST1303,g,ST1303,102711,1,1,
304,ST1304,g,ST1304,102712,1,1,
305,ST1305,g,ST1305,102713,1,1,
306,ST1306,g,ST1306,102714,1,1,
307,ST1307,g,ST1307,102715,1,1,
308,ST1308,g,ST1308,102716,1,1,
309,ST1309,g,ST1309,102717,1,1,
310,ST1310,g,ST1310,102718,1,1,
311,ST1311,g,ST1311,102719,1,1,
312,ST1312,g,ST1312,102720,1,1,
313,ST1313,g,ST1313,102721,1,1,
314,ST1314,g,ST1314,102722,1,1,
315,ST1315,g,ST1315,102723,1,1,
316,ST1316,g,ST1316,102724,1,1,
317,ST1317,g,ST1317,102725,1,1,
318,ST1318,g,ST1318,102726,1,1,
319,ST1319,g,ST1319,102727,1,1,
320,ST1320,g,ST1320,102728,1,1,
321,ST1321,g,ST1321,102729,1,1,
322,ST1322,g,ST1322,102730,1,1,
323,ST1323,g,ST1323,102731,1,1,
324,ST1324,g,ST1324,102732,1,1,
325,ST1325,g,ST1325,102733,1,1,
326,ST1326,g,ST1326,102734,1,1,
327,ST1327,g,ST1327,102735,1,1,
328,ST1328,g,ST1328,102736,1,1,
329,ST1329,g,ST1329,102737,1,1,
330,ST1330,g,ST1330,102738,1,1,
331,ST1331,g,ST1331,102739,1,1,
332,ST1332,g,ST1332,102740,1,1,
333,ST1333,g,ST1333,102741,1,1,
334,ST1334,g,ST1334,102742,1,1,
335,ST1335,g,ST1335,102743,1,1,
336,ST1336,g,ST1336,102744,1,1,
337,ST1337,g,ST1337,102745,1,1,
338,ST1338,g,ST1338,102746,1,1,
339,ST1339,g,ST1339,102747,1,1,
340,ST1340,g,ST1340,102748,1,1,
341,ST1341,g,ST1341,102749,1,1,
342,ST1342,g,ST1342,102750,1,1,
343,ST1343,g,ST1343,102751,1,1,
344,ST1344,g,ST1344,102752,1,1,
345,ST1345,g,ST1345,102753,1,1,
346,ST1346,g,ST1346,102754,1,1,
347,ST1347,g,ST1347,102755,1,1,
348,ST1348,g,ST1348,102756,1,1,
349,ST1349,g,ST1349,102757,1,1,
350,ST1350,g,ST1350,102758,1,1,
351,ST1351,g,ST1351,102759,1,1,
352,ST1352,g,ST1352,102760,1,1,
353,ST1353,g,ST1353,102761,1,1,
354,ST1354,g,ST1354,102762,1,1,
355,ST1355,g,ST1355,102763,1,1,
356,ST1356,g,ST1356,102764,1,1,
357,ST1357,g,ST1357,102765,1,1,
358,ST1358,g,ST1358,102766,1,1,
359,ST1359,g,ST1359,102767,1,1,
360,ST1360,g,ST1360,102768,1,1,
361,ST1361,g,ST1361,102769,1,1,
362,ST1362,g,ST1362,102770,1,1,
363,ST1363,g,ST1363,102771,1,1,
364,ST1364,g,ST1364,102772,1,1,
365,ST1365,g,ST1365,102773,1,1,
366,ST1366,g,ST1366,102774,1,1,
367,ST1367,g,ST1367,102775,1,1,
368,ST1368,g,ST1368,102776,1,1,
369,ST1369,g,ST1369,102777,1,1,
370,ST1370,g,ST1370,102778,1,1,
371,ST1371,g,ST1371,102779,1,1,
372,ST1372,g,ST1372,102780,1,1,
373,ST1373,g,ST1373,102781,1,1,
374,ST1374,g,ST1374,102782,1,1,
375,ST1375,g,ST1375,102783,1,1,
376,ST1376,g,ST1376,102784,1,1,
377,ST1377,g,ST1377,102785,1,1,
378,ST1378,g,ST1378,102786,1,1,
379,ST1379,g,ST1379,102787,1,1,
380,ST1380,g,ST1380,102788,1,1,
381,ST1381,g,ST1381,102789,1,1,
382,ST1382,g,ST1382,102790,1,1,
383,ST1383,g,ST1383,102791,1,1,
384,ST1384,g,ST1384,102792,1,1,
385,ST1385,g,ST1385,102793,1,1,
386,ST1386,g,ST1386,102794,1,1,
387,ST1387,g,ST1387,102795,1,1,
388,ST1388,g,ST1388,102796,1,1,
389,ST1389,g,ST1389,102797,1,1,
390,ST1390,g,ST1390,102798,1,1,
391,ST1391,g,ST1391,102799,1,1,
392,ST1392,g,ST1392,102800,1,1,
393,ST1393,g,ST1393,102801,1,1,
394,ST1394,g,ST1394,102802,1,1,
395,ST1395,g,ST1395,102803,1,1,
396,ST1396,g,ST1396,102804,1,1,
397,ST1397,g,ST1397,102805,1,1,
398,ST1398,g,ST1398,102806,1,1,
399,ST1399,g,ST1399,102807,1,1,
400,ST1400,g,ST1400,102808,1,1,
401,ST1401,g,ST1401,102809,1,1,
402,ST1402,g,ST1402,102810,1,1,
403,ST1403,g,ST1403,102811,1,1,
404,ST1404,g,ST1404,102812,1,1,
405,ST1405,g,ST1405,102813,1,1,
406,ST1406,g,ST1406,102814,1,1,
407,ST1407,g,ST1407,102815,1,1,
408,ST1408,g,ST1408,102816,1,1,
409,ST1409,g,ST1409,102817,1,1,
410,ST1410,g,ST1410,102818,1,1,
411,ST1411,g,ST1411,102819,1,1,
412,ST1412,g,ST1412,102820,1,1,
413,ST1413,g,ST1413,102821,1,1,
414,ST1414,g,ST1414,102822,1,1,
415,ST1415,g,ST1415,102823,1,1,
416,ST1416,g,ST1416,102824,1,1,
417,ST1417,g,ST1417,102825,1,1,
418,ST1418,g,ST1418,102826,1,1,
419,ST1419,g,ST1419,102827,1,1,
420,ST1420,g,ST1420,102828,1,1,
421,ST1421,g,ST1421,102829,1,1,
422,ST1422,g,ST1422,102830,1,1,
423,ST1423,g,ST1423,102831,1,1,
424,ST1424,g,ST1424,102832,1,1,
425,ST1425,g,ST1425,102833,1,1,
426,ST1426,g,ST1426,102834,1,1,
427,ST1427,g,ST1427,102835,1,1,
428,ST1428,g,ST1428,102836,1,1,
429,ST1429,g,ST1429,102837,1,1,
430,ST1430,g,ST1430,102838,1,1,
431,ST1431,g,ST1431,102839,1,1,
432,ST1432,g,ST1432,102840,1,1,
433,ST1433,g,ST1433,102841,1,1,
434,ST1434,g,ST1434,102842,1,1,
435,ST1435,g,ST1435,102843,1,1,
436,ST1436,g,ST1436,102844,1,1,
437,ST1437,g,ST1437,102845,1,1,
438,ST1438,g,ST1438,102846,1,1,
439,ST1439,g,ST1439,102847,1,1,
440,ST1440,g,ST1440,102848,1,1,
441,ST1441,g,ST1441,102849,1,1,
442,ST1442,g,ST1442,102850,1,1,
443,ST1443,g,ST1443,102851,1,1,
444,ST1444,g,ST1444,102852,1,1,
445,ST1445,g,ST1445,102853,1,1,
446,ST1446,g,ST1446,102854,1,1,
447,ST1447,g,ST1447,102855,1,1,
448,ST1448,g,ST1448,102856,1,1,
449,ST1449,g,ST1449,102857,1,1,
450,ST1450,g,ST1450,102858,1,1,
451,ST1451,g,ST1451,102859,1,1,
452,ST1452,g,ST1452,102860,1,1,
453,ST1453,g,ST1453,102861,1,1,
454,ST1454,g,ST1454,102862,1,1,
455,ST1455,g,ST1455,102863,1,1,
456,ST1456,g,ST1456,102864,1,1,
457,ST1457,g,ST1457,102865,1,1,
458,ST1458,g,ST1458,102866,1,1,
459,ST1459,g,ST1459,102867,1,1,
460,ST1460,g,ST1460,102868,1,1,
461,ST1461,g,ST1461,102869,1,1,
462,ST1462,g,ST1462,102870,1,1,
463,ST1463,g,ST1463,102871,1,1,
464,ST1464,g,ST1464,102872,1,1,
465,ST1465,g,ST1465,102873,1,1,
466,ST1466,g,ST1466,102874,1,1,
467,ST1467,g,ST1467,102875,1,1,
468,ST1468,g,ST1468,102876,1,1,
469,ST1469,g,ST1469,102877,1,1,
470,ST1470,g,ST1470,102878,1,1,
471,ST1471,g,ST1471,102879,1,1,
472,ST1472,g,ST1472,102880,1,1,
473,ST1473,g,ST1473,102881,1,1,
474,ST1474,g,ST1474,102882,1,1,
475,ST1475,g,ST1475,102883,1,1,
476,ST1476,g,ST1476,102884,1,1,
477,ST1477,g,ST1477,102885,1,1,
478,ST1478,g,ST1478,102886,1,1,
479,ST1479,g,ST1479,102887,1,1,
480,ST1480,g,ST1480,102888,1,1,
481,ST1481,g,ST1481,102889,1,1,
482,ST1482,g,ST1482,102890,1,1,
483,ST1483,g,ST1483,102891,1,1,
484,ST1484,g,ST1484,102892,1,1,
485,ST1485,g,ST1485,102893,1,1,
486,ST1486,g,ST1486,102894,1,1,
487,ST1487,g,ST1487,102895,1,1,
488,ST1488,g,ST1488,102896,1,1,
489,ST1489,g,ST1489,102897,1,1,
490,ST1490,g,ST1490,102898,1,1,
491,ST1491,g,ST1491,102899,1,1,
492,ST1492,g,ST1492,102900,1,1,
493,ST1493,g,ST1493,102901,1,1,
494,ST1494,g,ST1494,102902,1,1,
495,ST1495,g,ST1495,102903,1,1,
496,ST1496,g,ST1496,102904,1,1,
497,ST1497,g,ST1497,102905,1,1,
498,ST1498,g,ST1498,102906,1,1,
499,ST1499,g,ST1499,102907,1,1,
500,ST1500,g,ST1500,102908,1,1,
501,ST1501,g,ST1501,102909,1,1,
502,ST1502,g,ST1502,102910,1,1,
503,ST1503,g,ST1503,102911,1,1,
504,ST1504,g,ST1504,102912,1,1,
505,ST1505,g,ST1505,102913,1,1,
506,ST1506,g,ST1506,102914,1,1,
507,ST1507,g,ST1507,102915,1,1,
508,ST1508,g,ST1508,102916,1,1,
509,ST1509,g,ST1509,102917,1,1,
510,ST1510,g,ST1510,102918,1,1,
511,ST1511,g,ST1511,102919,1,1,
512,ST1512,g,ST1512,102920,1,1,
513,ST1513,g,ST1513,102921,1,1,
514,ST1514,g,ST1514,102922,1,1,
515,ST1515,g,ST1515,102923,1,1,
516,ST1516,g,ST1516,102924,1,1,
517,ST1517,g,ST1517,102925,1,1,
518,ST1518,g,ST1518,102926,1,1,
519,ST1519,g,ST1519,102927,1,1,
520,ST1520,g,ST1520,102928,1,1,
521,ST1521,g,ST1521,102929,1,1,
522,ST1522,g,ST1522,102930,1,1,
523,ST1523,g,ST1523,102931,1,1,
524,ST1524,g,ST1524,102932,1,1,
525,ST1525,g,ST1525,102933,1,1,
526,ST1526,g,ST1526,102934,1,1,
527,ST1527,g,ST1527,102935,1,1,
528,ST1528,g,ST1528,102936,1,1,
529,ST1529,g,ST1529,102937,1,1,
530,ST1530,g,ST1530,102938,1,1,
531,ST1531,g,ST1531,102939,1,1,
532,ST1532,g,ST1532,102940,1,1,
533,ST1533,g,ST1533,102941,1,1,
534,ST1534,g,ST1534,102942,1,1,
535,ST1535,g,ST1535,102943,1,1,
536,ST1536,g,ST1536,102944,1,1,
537,ST1537,g,ST1537,102945,1,1,
538,ST1538,g,ST1538,102946,1,1,
539,ST1539,g,ST1539,102947,1,1,
540,ST1540,g,ST1540,102948,1,1,
541,ST1541,g,ST1541,102949,1,1,
542,ST1542,g,ST1542,102950,1,1,
543,ST1543,g,ST1543,102951,1,1,
544,ST1544,g,ST1544,102952,1,1,
545,ST1545,g,ST1545,102953,1,1,
546,ST1546,g,ST1546,102954,1,1,
547,ST1547,g,ST1547,102955,1,1,
548,ST1548,g,ST1548,102956,1,1,
549,ST1549,g,ST1549,102957,1,1,
550,ST1550,g,ST1550,102958,1,1,
551,ST1551,g,ST1551,102959,1,1,
552,ST1552,g,ST1552,102960,1,1,
553,ST1553,g,ST1553,102961,1,1,
554,ST1554,g,ST1554,102962,1,1,
555,ST1555,g,ST1555,102963,1,1,
556,ST1556,g,ST1556,102964,1,1,
557,ST1557,g,ST1557,102965,1,1,
558,ST1558,g,ST1558,102966,1,1,
559,ST1559,g,ST1559,102967,1,1,
560,ST1560,g,ST1560,102968,1,1,
561,ST1561,g,ST1561,102969,1,1,
562,ST1562,g,ST1562,102970,1,1,
563,ST1563,g,ST1563,102971,1,1,
564,ST1564,g,ST1564,102972,1,1,
565,ST1565,g,ST1565,102973,1,1,
566,ST1566,g,ST1566,102974,1,1,
567,ST1567,g,ST1567,102975,1,1,
568,ST1568,g,ST1568,102976,1,1,
569,ST1569,g,ST1569,102977,1,1,
570,ST1570,g,ST1570,102978,1,1,
571,ST1571,g,ST1571,102979,1,1,
572,ST1572,g,ST1572,102980,1,1,
573,ST1573,g,ST1573,102981,1,1,
574,ST1574,g,ST1574,102982,1,1,
575,ST1575,g,ST1575,102983,1,1,
576,ST1576,g,ST1576,102984,1,1,
577,ST1577,g,ST1577,102985,1,1,
578,ST1578,g,ST1578,102986,1,1,
579,ST1579,g,ST1579,102987,1,1,
580,ST1580,g,ST1580,102988,1,1,
581,ST1581,g,ST1581,102989,1,1,
582,ST1582,g,ST1582,102990,1,1,
583,ST1583,g,ST1583,102991,1,1,
584,ST1584,g,ST1584,102992,1,1,
585,ST1585,g,ST1585,102993,1,1,
586,ST1586,g,ST1586,102994,1,1,
587,ST1587,g,ST1587,102995,1,1,
588,ST1588,g,ST1588,102996,1,1,
589,ST1589,g,ST1589,102997,1,1,
590,ST1590,g,ST1590,102998,1,1,
591,ST1591,g,ST1591,102999,1,1,
592,ST1592,g,ST1592,103000,1,1,
593,ST1593,g,ST1593,103001,1,1,
594,ST1594,g,ST1594,103002,1,1,
595,ST1595,g,ST1595,103003,1,1,
596,ST1596,g,ST1596,103004,1,1,
597,ST1597,g,ST1597,103005,1,1,
598,ST1598,g,ST1598,103006,1,1,
599,ST1599,g,ST1599,103007,1,1,
600,ST1600,g,ST1600,103008,1,1,
601,ST1601,g,ST1601,103009,1,1,
602,ST1602,g,ST1602,103010,1,1,
603,ST1603,g,ST1603,103011,1,1,
604,ST1604,g,ST1604,103012,1,1,
605,ST1605,g,ST1605,103013,1,1,
606,ST1606,g,ST1606,103014,1,1,
607,ST1607,g,ST1607,103015,1,1,
608,ST1608,g,ST1608,103016,1,1,
609,ST1609,g,ST1609,103017,1,1,
610,ST1610,g,ST1610,103018,1,1,
611,ST1611,g,ST1611,103019,1,1,
612,ST1612,g,ST1612,103020,1,1,
613,ST1613,g,ST1613,103021,1,1,
614,ST1614,g,ST1614,103022,1,1,
615,ST1615,g,ST1615,103023,1,1,
616,ST1616,g,ST1616,103024,1,1,
617,ST1617,g,ST1617,103025,1,1,
618,ST1618,g,ST1618,103026,1,1,
619,ST1619,g,ST1619,103027,1,1,
620,ST1620,g,ST1620,103028,1,1,
621,ST1621,g,ST1621,103029,1,1,
622,ST1622,g,ST1622,103030,1,1,
623,ST1623,g,ST1623,103031,1,1,
624,ST1624,g,ST1624,103032,1,1,
625,ST1625,g,ST1625,103033,1,1,
626,ST1626,g,ST1626,103034,1,1,
627,ST1627,g,ST1627,103035,1,1,
628,ST1628,g,ST1628,103036,1,1,
629,ST1629,g,ST1629,103037,1,1,
630,ST1630,g,ST1630,103038,1,1,
